iter	RMSE
0	0.9756358575
1	0.9477338678
2	0.920737096
3	0.8945940176
4	0.8692816586
5	0.8447278913
6	0.8211681147
7	0.7981454232
8	0.7760539807
9	0.7542525195
10	0.7332866192
11	0.7128202292
12	0.6929836919
13	0.674142486
14	0.6557550189
15	0.6378362567
16	0.6204550311
17	0.6036923371
18	0.5872890377
19	0.5718004128
20	0.5567288192
21	0.541998871
22	0.5277522118
23	0.5140064738
24	0.5007432473
25	0.4880053358
26	0.4755136711
27	0.4633326558
28	0.4516055227
29	0.440535381
30	0.4297867199
31	0.4192148006
32	0.4090433168
33	0.3992196291
34	0.389930667
35	0.3808268784
36	0.3720496634
37	0.363535118
38	0.3554038442
39	0.3473454751
40	0.3396657685
41	0.3324302516
42	0.3253558458
43	0.3185845592
44	0.3120398536
45	0.3057046756
46	0.2996249031
47	0.2937113104
48	0.2881421232
49	0.2828613266
50	0.2775222956
51	0.2725254213
52	0.2676554367
53	0.2629762418
54	0.2584350342
55	0.2544994875
56	0.2504558288
57	0.2464688728
58	0.2425939449
59	0.2390297355
60	0.2355224054
61	0.2322740476
62	0.2290134606
63	0.2258900964
64	0.2229163865
65	0.2204700281
66	0.2177070455
67	0.215089697
68	0.2125715267
69	0.2102354824
70	0.2080130785
71	0.2058237559
72	0.2037405907
73	0.2018057023
74	0.1999199683
75	0.1982967263
76	0.1965304435
77	0.1948190308
78	0.1932899363
79	0.191779351
80	0.1903613144
81	0.1890484599
82	0.187724424
83	0.1865729785
84	0.1855063071
85	0.1844938515
86	0.1834008896
87	0.182397157
88	0.1814096716
89	0.180443237
90	0.1796330682
91	0.1788248262
92	0.1779825585
93	0.1771973286
94	0.1764702763
95	0.1757381589
96	0.175089831
97	0.1744602778
98	0.1738483323
99	0.1733120414
100	0.1727920406
101	0.1722755138
102	0.1717278232
103	0.1712030209
104	0.1707245563
105	0.1702874768
106	0.1698441235
107	0.1693858343
108	0.1689971855
109	0.1686047864
110	0.1682487658
111	0.1679394447
112	0.1676125
113	0.1673041679
114	0.1670071134
115	0.1667195859
116	0.1664356446
117	0.1661725153
118	0.1659104349
119	0.1656921181
120	0.1654531164
121	0.1652862724
122	0.1650620455
123	0.1648714455
124	0.1646604804
125	0.1644661474
126	0.1642748773
127	0.1641001209
128	0.1639544755
129	0.1637916438
130	0.1636503236
131	0.1635137435
132	0.163371172
133	0.1632420568
134	0.1631266392
135	0.1629772921
136	0.1628538717
137	0.1627623886
138	0.1626230562
139	0.1625180599
140	0.1624253276
141	0.1622991816
142	0.1622094072
143	0.1620838247
144	0.1619633285
145	0.1618602604
146	0.1617446919
147	0.1616275255
148	0.1615083404
149	0.1614126234
150	0.1613109524
151	0.1612511191
152	0.1611642004
153	0.1610910442
154	0.1610313793
155	0.1609722325
156	0.1608984771
157	0.1608239921
158	0.1607725278
159	0.1606909802
160	0.1606167928
161	0.1605429003
162	0.1604676952
163	0.1604244731
164	0.1603769395
165	0.160313154
166	0.1602478314
167	0.1601728215
168	0.1601254693
169	0.1600597575
170	0.1600006947
171	0.1599576385
172	0.1599094881
173	0.1598612541
174	0.1598133401
175	0.1597754688
176	0.1597303141
177	0.1596729809
178	0.1596246196
179	0.1595608896
180	0.1595242203
181	0.1594726145
182	0.1594142769
183	0.1593667127
184	0.1593389577
185	0.1592981972
186	0.1592742193
187	0.1592316356
188	0.1591894209
189	0.1591326369
190	0.1590953956
191	0.1590688295
192	0.1590377362
193	0.1589925579
194	0.158946861
195	0.1589085548
196	0.1588982564
197	0.1588719198
198	0.1588244048
199	0.1587735241
200	0.1587218219
201	0.1586794333
202	0.1586493667
203	0.1586089501
204	0.1585395127
205	0.1585073102
206	0.1584847179
207	0.1584549388
208	0.1584380371
209	0.1584155635
210	0.1583931238
211	0.1583495064
212	0.1583173471
213	0.1582952695
214	0.1582615042
215	0.1582305341
216	0.1581795757
217	0.1581546824
218	0.1581227331
219	0.1580985016
220	0.1580556853
221	0.158019339
222	0.1579697182
223	0.1579469163
224	0.1578938361
225	0.1578502937
226	0.1578206152
227	0.1577919237
228	0.1577708429
229	0.1577222865
230	0.1576844795
231	0.1576362879
232	0.1576138369
233	0.1575881973
234	0.1575562113
235	0.1575318242
236	0.1575072105
237	0.1574663775
238	0.1574357964
239	0.1574310686
240	0.157409588
241	0.1573861372
242	0.1573579018
243	0.1573172392
244	0.1573023582
245	0.1572873619
246	0.1572555908
247	0.1572293252
248	0.1572088923
249	0.1571551045
250	0.157138679
251	0.1571236284
252	0.1570941666
253	0.1570728659
254	0.1570333174
255	0.1569895123
256	0.1569497929
257	0.1569153762
258	0.1569088075
259	0.1568802036
260	0.1568625386
261	0.1568202609
262	0.1567915125
263	0.1567706917
264	0.1567438759
265	0.1567105411
266	0.1566763226
267	0.1566401291
268	0.1566175343
269	0.1565931082
270	0.1565720272
271	0.1565381175
272	0.156511994
