iter	Passed	Remaining
0	15	15224
1	28	14414
2	39	13247
3	49	12356
4	63	12567
5	73	12225
6	86	12320
7	99	12284
8	109	12098
9	121	12042
10	130	11714
11	141	11643
12	152	11606
13	163	11492
14	171	11272
15	182	11222
16	193	11214
17	215	11742
18	227	11723
19	238	11686
20	248	11602
21	259	11552
22	268	11423
23	279	11361
24	288	11251
25	299	11214
26	309	11158
27	320	11123
28	333	11150
29	341	11053
30	351	10998
31	360	10910
32	370	10859
33	379	10776
34	388	10703
35	397	10637
36	405	10560
37	418	10585
38	428	10568
39	437	10503
40	446	10443
41	457	10443
42	471	10491
43	483	10507
44	498	10581
45	509	10567
46	526	10677
47	541	10730
48	555	10777
49	569	10821
50	588	10949
51	603	10995
52	617	11027
53	629	11019
54	641	11026
55	654	11029
56	669	11072
57	684	11117
58	696	11115
59	714	11186
60	731	11252
61	749	11333
62	787	11717
63	826	12085
64	849	12224
65	866	12263
66	881	12272
67	894	12254
68	906	12235
69	924	12284
70	937	12262
71	951	12269
72	965	12256
73	977	12233
74	998	12310
75	1013	12316
76	1030	12352
77	1042	12325
78	1054	12298
79	1068	12285
80	1079	12242
81	1096	12277
82	1110	12271
83	1124	12266
84	1138	12253
85	1151	12233
86	1163	12205
87	1174	12169
88	1188	12160
89	1203	12173
90	1214	12127
91	1225	12093
92	1238	12076
93	1252	12070
94	1264	12049
95	1274	11999
96	1289	12000
97	1303	11998
98	1314	11959
99	1327	11943
100	1335	11887
101	1348	11872
102	1357	11823
103	1370	11809
104	1379	11758
105	1392	11741
106	1405	11730
107	1418	11715
108	1427	11670
109	1438	11637
110	1447	11596
111	1460	11581
112	1473	11565
113	1482	11519
114	1493	11495
115	1513	11531
116	1526	11522
117	1538	11499
118	1550	11480
119	1562	11457
120	1571	11412
121	1581	11379
122	1590	11338
123	1602	11317
124	1613	11297
125	1624	11266
126	1635	11239
127	1648	11229
128	1657	11194
129	1668	11164
130	1681	11157
131	1691	11122
132	1700	11088
133	1712	11065
134	1723	11043
135	1732	11005
136	1740	10963
137	1751	10939
138	1758	10894
139	1770	10875
140	1779	10838
141	1787	10800
142	1796	10766
143	1804	10729
144	1816	10711
145	1826	10684
146	1837	10659
147	1849	10647
148	1859	10620
149	1867	10583
150	1878	10563
151	1889	10544
152	1899	10515
153	1907	10480
154	1915	10445
155	1924	10411
156	1931	10373
157	1940	10342
158	1953	10331
159	1963	10310
160	1972	10276
161	1981	10251
162	1990	10219
163	1999	10194
164	2009	10168
165	2018	10140
166	2034	10147
167	2045	10132
168	2058	10124
169	2066	10090
170	2075	10063
171	2084	10036
172	2093	10005
173	2101	9976
174	2109	9942
175	2117	9912
176	2124	9880
177	2132	9847
178	2139	9812
179	2145	9775
180	2153	9744
181	2161	9713
182	2168	9682
183	2185	9692
184	2193	9662
185	2201	9634
186	2208	9603
187	2215	9570
188	2222	9535
189	2229	9505
190	2237	9476
191	2244	9445
192	2253	9421
193	2262	9401
194	2270	9373
195	2277	9342
196	2286	9318
197	2296	9300
198	2305	9279
199	2313	9255
200	2322	9232
201	2331	9209
202	2342	9197
203	2351	9176
204	2362	9162
205	2370	9138
206	2378	9110
207	2385	9083
208	2394	9063
209	2403	9040
210	2412	9020
211	2421	8998
212	2428	8972
213	2436	8949
214	2445	8927
215	2452	8903
216	2461	8883
217	2471	8864
218	2478	8839
219	2487	8819
220	2496	8799
221	2504	8778
222	2512	8754
223	2520	8732
224	2528	8708
